timestamp_unix_seconds,git_commit,num_games,games_completed,samples,min_ms,q1_ms,median_ms,mean_ms,q3_ms,p95_ms,p99_ms,max_ms
1784742754,95b37e8-dirty,50,50,2112,0.12,0.38,0.55,0.83,0.86,1.95,6.92,18.83
1784742777,95b37e8-dirty,20,20,846,0.13,0.39,0.52,0.79,0.84,1.87,5.63,19.78
